fname,plate,mjd,fiberID,subClass,group
spec-0314-51641-0198.fits,314,51641,198,A0,hot
spec-0352-51789-0186.fits,352,51789,186,A0,hot
spec-0349-51699-0089.fits,349,51699,89,A0,hot
spec-0284-51943-0410.fits,284,51943,410,A0,hot
spec-0374-51791-0578.fits,374,51791,578,A0,hot
spec-0379-51789-0067.fits,379,51789,67,A0,hot
spec-0355-51788-0627.fits,355,51788,627,A0,hot
spec-0340-51990-0426.fits,340,51990,426,A0,hot
spec-0277-51908-0325.fits,277,51908,325,A0,hot
spec-0301-51942-0529.fits,301,51942,529,A0,hot
spec-0569-52264-0320.fits,569,52264,320,A0,hot
spec-0419-51879-0531.fits,419,51879,531,A0,hot
spec-0299-51671-0359.fits,299,51671,359,A0,hot
spec-0289-51990-0093.fits,289,51990,93,A0,hot
spec-0301-51641-0584.fits,301,51641,584,A0,hot
spec-0532-51993-0472.fits,532,51993,472,A0,hot
spec-0483-51902-0055.fits,483,51902,55,A0,hot
spec-0611-52055-0287.fits,611,52055,287,A0,hot
spec-0289-51990-0182.fits,289,51990,182,A0,hot
spec-0323-51615-0572.fits,323,51615,572,A0,hot
spec-0406-52238-0160.fits,406,52238,160,B9,hot
spec-0459-51924-0359.fits,459,51924,359,A0,hot
spec-0613-52345-0612.fits,613,52345,612,A0,hot
spec-0470-51929-0530.fits,470,51929,530,A0,hot
spec-0395-51783-0341.fits,395,51783,341,A0,hot
spec-0465-51910-0568.fits,465,51910,568,A0,hot
spec-0300-51666-0293.fits,300,51666,293,A0,hot
spec-0323-51615-0400.fits,323,51615,400,A0,hot
spec-0435-51882-0618.fits,435,51882,618,A0,hot
spec-0498-51973-0254.fits,498,51973,254,A0,hot
spec-0412-51931-0620.fits,412,51931,620,A0,hot
spec-0651-52141-0098.fits,651,52141,98,A0,hot
spec-0591-52022-0447.fits,591,52022,447,A0,hot
spec-0292-51609-0601.fits,292,51609,601,A0,hot
spec-0401-51788-0329.fits,401,51788,329,A0,hot
spec-0315-51663-0062.fits,315,51663,62,B6,hot
spec-0470-51929-0635.fits,470,51929,635,A0,hot
spec-0291-51660-0210.fits,291,51660,210,A0,hot
spec-0282-51658-0614.fits,282,51658,614,A0,hot
spec-0283-51959-0307.fits,283,51959,307,A0,hot
spec-0539-52017-0044.fits,539,52017,44,A0,hot
spec-0435-51882-0266.fits,435,51882,266,A0,hot
spec-0499-51988-0520.fits,499,51988,520,A0,hot
spec-0304-51957-0373.fits,304,51957,373,A0,hot
spec-0593-52026-0290.fits,593,52026,290,A0,hot
spec-0587-52026-0049.fits,587,52026,49,A0,hot
spec-0593-52026-0425.fits,593,52026,425,A0,hot
spec-0289-51990-0141.fits,289,51990,141,A0,hot
spec-0559-52316-0425.fits,559,52316,425,A0,hot
spec-0315-51663-0624.fits,315,51663,624,OB,hot
spec-0293-51689-0081.fits,293,51689,81,A0,hot
spec-0419-51879-0140.fits,419,51879,140,A0,hot
spec-0470-51929-0398.fits,470,51929,398,A0,hot
spec-0301-51942-0191.fits,301,51942,191,A0p,hot
spec-0283-51660-0561.fits,283,51660,561,A0,hot
spec-0277-51908-0351.fits,277,51908,351,A0,hot
spec-0411-51817-0122.fits,411,51817,122,A0,hot
spec-0342-51691-0312.fits,342,51691,312,A0,hot
spec-0377-52145-0437.fits,377,52145,437,A0,hot
spec-0413-51821-0315.fits,413,51821,315,A0,hot
spec-0357-51813-0566.fits,357,51813,566,A0,hot
spec-0565-52225-0142.fits,565,52225,142,A0,hot
spec-0635-52145-0156.fits,635,52145,156,B9,hot
spec-0473-51929-0627.fits,473,51929,627,OB,hot
spec-0524-52027-0355.fits,524,52027,355,OB,hot
spec-0285-51663-0306.fits,285,51663,306,A0,hot
spec-0340-51691-0141.fits,340,51691,141,A0,hot
spec-0413-51929-0158.fits,413,51929,158,A0,hot
spec-0545-52202-0326.fits,545,52202,326,O,hot
spec-0423-51821-0629.fits,423,51821,629,A0,hot
spec-0566-52238-0458.fits,566,52238,458,A0,hot
spec-0283-51959-0305.fits,283,51959,305,A0,hot
spec-0539-52017-0516.fits,539,52017,516,A0,hot
spec-0598-52316-0591.fits,598,52316,591,A0,hot
spec-0476-52314-0119.fits,476,52314,119,A0,hot
spec-0338-51694-0292.fits,338,51694,292,A0,hot
spec-0454-51908-0484.fits,454,51908,484,A0,hot
spec-0644-52173-0268.fits,644,52173,268,A0,hot
spec-0341-51690-0180.fits,341,51690,180,A0,hot
spec-0348-51696-0531.fits,348,51696,531,A0,hot
spec-0313-51673-0519.fits,313,51673,519,O,hot
spec-0357-51813-0579.fits,357,51813,579,B9,hot
spec-0501-52235-0118.fits,501,52235,118,A0,hot
spec-0302-51688-0169.fits,302,51688,169,A0,hot
spec-0504-52316-0425.fits,504,52316,425,A0,hot
spec-0694-52209-0468.fits,694,52209,468,A0,hot
spec-0545-52202-0590.fits,545,52202,590,A0,hot
spec-0572-52289-0596.fits,572,52289,596,A0,hot
spec-0574-52355-0219.fits,574,52355,219,A0,hot
spec-0294-51986-0474.fits,294,51986,474,A0,hot
spec-0293-51689-0361.fits,293,51689,361,A0,hot
spec-0313-51673-0460.fits,313,51673,460,A0,hot
spec-0367-51997-0539.fits,367,51997,539,A0,hot
spec-0568-52254-0030.fits,568,52254,30,OB,hot
spec-0493-51957-0377.fits,493,51957,377,A0,hot
spec-0413-51929-0535.fits,413,51929,535,A0,hot
spec-0357-51813-0176.fits,357,51813,176,A0,hot
spec-0645-52203-0414.fits,645,52203,414,A0,hot
spec-0298-51955-0351.fits,298,51955,351,OB,hot
spec-0346-51693-0129.fits,346,51693,129,A0,hot
spec-0453-51915-0490.fits,453,51915,490,A0,hot
spec-0348-51696-0555.fits,348,51696,555,A0,hot
spec-0328-52282-0289.fits,328,52282,289,B9,hot
spec-0573-52325-0116.fits,573,52325,116,A0,hot
spec-0630-52050-0399.fits,630,52050,399,A0,hot
spec-0287-52023-0414.fits,287,52023,414,A0,hot
spec-0631-52079-0506.fits,631,52079,506,A0,hot
spec-0277-51908-0568.fits,277,51908,568,A0,hot
spec-0437-51876-0586.fits,437,51876,586,OB,hot
spec-0292-51609-0365.fits,292,51609,365,A0,hot
spec-0358-51818-0078.fits,358,51818,78,A0,hot
spec-0351-51780-0390.fits,351,51780,390,A0p,hot
spec-0418-51817-0455.fits,418,51817,455,A0,hot
spec-0623-52051-0373.fits,623,52051,373,A0,hot
spec-0293-51994-0386.fits,293,51994,386,A0,hot
spec-0346-51693-0457.fits,346,51693,457,A0,hot
spec-0545-52202-0260.fits,545,52202,260,A0,hot
spec-0283-51959-0012.fits,283,51959,12,A0,hot
spec-0399-51817-0569.fits,399,51817,569,A0,hot
spec-0413-51821-0051.fits,413,51821,51,A0,hot
spec-0340-51691-0300.fits,340,51691,300,A0p,hot
spec-0423-51821-0193.fits,423,51821,193,B9,hot
spec-0579-52338-0374.fits,579,52338,374,A0,hot
spec-0332-52367-0589.fits,332,52367,589,A0,hot
spec-0692-52201-0526.fits,692,52201,526,A0,hot
spec-0333-52313-0191.fits,333,52313,191,A0,hot
spec-0356-51779-0350.fits,356,51779,350,A0,hot
spec-0483-51924-0034.fits,483,51924,34,A0,hot
spec-0312-51689-0332.fits,312,51689,332,A0,hot
spec-0594-52045-0621.fits,594,52045,621,A0,hot
spec-0300-51943-0352.fits,300,51943,352,A0,hot
spec-0531-52028-0254.fits,531,52028,254,A0,hot
spec-0425-51898-0456.fits,425,51898,456,A0,hot
spec-0467-51901-0026.fits,467,51901,26,A0,hot
spec-0324-51666-0617.fits,324,51666,617,A0,hot
spec-0579-52338-0260.fits,579,52338,260,A0,hot
spec-0418-51817-0322.fits,418,51817,322,A0,hot
spec-0292-51609-0351.fits,292,51609,351,A0,hot
spec-0531-52028-0575.fits,531,52028,575,A0,hot
spec-0692-52201-0402.fits,692,52201,402,A0p,hot
spec-0473-51929-0121.fits,473,51929,121,A0,hot
spec-0515-52051-0089.fits,515,52051,89,OB,hot
spec-0418-51884-0353.fits,418,51884,353,A0,hot
spec-0502-51957-0587.fits,502,51957,587,A0,hot
spec-0283-51584-0116.fits,283,51584,116,A0,hot
spec-0289-51990-0428.fits,289,51990,428,A0,hot
spec-0561-52295-0485.fits,561,52295,485,A0,hot
spec-0274-51913-0364.fits,274,51913,364,A0,hot
spec-0464-51908-0086.fits,464,51908,86,A0,hot
spec-0659-52199-0447.fits,659,52199,447,A0,hot
spec-0547-51959-0058.fits,547,51959,58,A0,hot
spec-0416-51811-0253.fits,416,51811,253,A0,hot
spec-0382-51816-0438.fits,382,51816,438,A0,hot
spec-0309-51666-0253.fits,309,51666,253,A0,hot
spec-0573-52325-0621.fits,573,52325,621,A0,hot
spec-0386-51788-0003.fits,386,51788,3,OB,hot
spec-0634-52164-0186.fits,634,52164,186,A0,hot
spec-0419-51812-0540.fits,419,51812,540,A0,hot
spec-0597-52059-0221.fits,597,52059,221,A0,hot
spec-0449-51900-0103.fits,449,51900,103,A0,hot
spec-0569-52264-0296.fits,569,52264,296,A0,hot
spec-0307-51663-0123.fits,307,51663,123,A0,hot
spec-0537-52027-0548.fits,537,52027,548,A0,hot
spec-0571-52286-0442.fits,571,52286,442,A0,hot
spec-0541-51959-0354.fits,541,51959,354,A0,hot
spec-0537-52027-0578.fits,537,52027,578,A0,hot
spec-0300-51943-0584.fits,300,51943,584,A0,hot
spec-0431-51877-0610.fits,431,51877,610,A0,hot
spec-0573-52325-0409.fits,573,52325,409,A0,hot
spec-0472-51955-0409.fits,472,51955,409,A0,hot
spec-0406-51876-0554.fits,406,51876,554,A0,hot
spec-0523-52026-0587.fits,523,52026,587,A0,hot
spec-0594-52027-0465.fits,594,52027,465,A0,hot
spec-0335-52000-0242.fits,335,52000,242,A0,hot
spec-0332-52367-0060.fits,332,52367,60,A0,hot
spec-0503-51999-0180.fits,503,51999,180,A0,hot
spec-0342-51691-0013.fits,342,51691,13,A0,hot
spec-0532-51993-0278.fits,532,51993,278,A0,hot
spec-0289-51990-0401.fits,289,51990,401,A0,hot
spec-0472-51955-0349.fits,472,51955,349,A0,hot
spec-0332-52367-0380.fits,332,52367,380,A0,hot
spec-0390-51816-0010.fits,390,51816,10,A0p,hot
spec-0419-51879-0352.fits,419,51879,352,A0,hot
spec-0372-52173-0124.fits,372,52173,124,A0,hot
spec-0702-52178-0183.fits,702,52178,183,A0,hot
spec-0351-51780-0255.fits,351,51780,255,O,hot
spec-0598-52316-0099.fits,598,52316,99,A0,hot
spec-0282-51630-0215.fits,282,51630,215,A0,hot
spec-0421-51821-0038.fits,421,51821,38,A0,hot
spec-0298-51662-0303.fits,298,51662,303,A0,hot
spec-0662-52178-0208.fits,662,52178,208,A0,hot
spec-0412-52258-0525.fits,412,52258,525,A0,hot
spec-0296-51665-0481.fits,296,51665,481,A0,hot
spec-0468-51912-0209.fits,468,51912,209,A0,hot
spec-0345-51690-0560.fits,345,51690,560,A0,hot
spec-0331-52368-0531.fits,331,52368,531,A0,hot
spec-0400-51820-0486.fits,400,51820,486,A0,hot
spec-0471-51924-0412.fits,471,51924,412,A0,hot
spec-0578-52339-0460.fits,578,52339,460,A0,hot
spec-0335-52000-0276.fits,335,52000,276,A0,hot
spec-0283-51660-0560.fits,283,51660,560,A0,hot
spec-0413-51821-0286.fits,413,51821,286,A0,hot
spec-0376-52143-0409.fits,376,52143,409,A0,hot
spec-0419-51879-0379.fits,419,51879,379,A0,hot
spec-0414-51869-0625.fits,414,51869,625,A0,hot
spec-0385-51783-0163.fits,385,51783,163,A0,hot
spec-0653-52145-0154.fits,653,52145,154,A0,hot
spec-0501-52235-0410.fits,501,52235,410,O,hot
spec-0310-51990-0256.fits,310,51990,256,A0,hot
spec-0277-51908-0323.fits,277,51908,323,A0,hot
spec-0385-51877-0025.fits,385,51877,25,B9,hot
spec-0501-52235-0220.fits,501,52235,220,A0,hot
spec-0484-51907-0075.fits,484,51907,75,A0,hot
spec-0350-51691-0366.fits,350,51691,366,A0,hot
spec-0487-51943-0262.fits,487,51943,262,A0,hot
spec-0381-51811-0215.fits,381,51811,215,A0,hot
spec-0290-51941-0569.fits,290,51941,569,A0,hot
spec-0389-51795-0202.fits,389,51795,202,A0,hot
spec-0483-51942-0061.fits,483,51942,61,A0,hot
spec-0302-51616-0193.fits,302,51616,193,A0p,hot
spec-0588-52045-0640.fits,588,52045,640,A0,hot
spec-0282-51658-0433.fits,282,51658,433,A0,hot
spec-0301-51942-0367.fits,301,51942,367,A0,hot
spec-0653-52145-0345.fits,653,52145,345,A0,hot
spec-0304-51609-0398.fits,304,51609,398,A0,hot
spec-0367-51997-0166.fits,367,51997,166,A0,hot
spec-0612-52079-0427.fits,612,52079,427,OB,hot
spec-0544-52201-0146.fits,544,52201,146,A0,hot
spec-0340-51990-0280.fits,340,51990,280,A0,hot
spec-0514-51994-0377.fits,514,51994,377,A0,hot
spec-0410-51816-0340.fits,410,51816,340,A0,hot
spec-0416-51885-0477.fits,416,51885,477,A0,hot
spec-0289-51990-0300.fits,289,51990,300,A0,hot
spec-0302-51688-0320.fits,302,51688,320,A0,hot
spec-0489-51930-0448.fits,489,51930,448,A0,hot
spec-0705-52200-0579.fits,705,52200,579,A0,hot
spec-0570-52266-0249.fits,570,52266,249,A0,hot
spec-0535-51999-0002.fits,535,51999,2,A0,hot
spec-0348-51696-0137.fits,348,51696,137,A0p,hot
spec-0298-51662-0436.fits,298,51662,436,A0,hot
spec-0292-51609-0337.fits,292,51609,337,A0,hot
spec-0324-51616-0104.fits,324,51616,104,A0,hot
spec-0638-52081-0395.fits,638,52081,395,A0,hot
spec-0556-51991-0393.fits,556,51991,393,A0,hot
spec-0367-51997-0550.fits,367,51997,550,A0,hot
spec-0385-51877-0209.fits,385,51877,209,A0,hot
spec-0354-51792-0464.fits,354,51792,464,A0,hot
spec-0612-52079-0468.fits,612,52079,468,A0,hot
spec-0600-52317-0636.fits,600,52317,636,A0,hot
spec-0569-52264-0546.fits,569,52264,546,A0,hot
spec-0550-51959-0161.fits,550,51959,161,A0,hot
spec-0301-51641-0610.fits,301,51641,610,A0,hot
spec-0537-52027-0453.fits,537,52027,453,A0,hot
spec-0611-52055-0335.fits,611,52055,335,A0,hot
spec-0587-52026-0595.fits,587,52026,595,A0,hot
spec-0304-51609-0622.fits,304,51609,622,A0,hot
spec-0585-52027-0419.fits,585,52027,419,A0,hot
spec-0300-51666-0090.fits,300,51666,90,A0,hot
spec-0412-52250-0585.fits,412,52250,585,A0,hot
spec-0279-51608-0525.fits,279,51608,525,A0,hot
spec-0537-52027-0307.fits,537,52027,307,A0,hot
spec-0456-51910-0419.fits,456,51910,419,A0,hot
spec-0306-51690-0018.fits,306,51690,18,A0,hot
spec-0524-52027-0605.fits,524,52027,605,A0,hot
spec-0602-52072-0386.fits,602,52072,386,A0,hot
spec-0405-51816-0445.fits,405,51816,445,A0,hot
spec-0346-51693-0055.fits,346,51693,55,A0,hot
spec-0366-52017-0327.fits,366,52017,327,A0,hot
spec-0534-51997-0489.fits,534,51997,489,A0,hot
spec-0502-51957-0390.fits,502,51957,390,A0,hot
spec-0384-51821-0073.fits,384,51821,73,A0,hot
spec-0505-52317-0304.fits,505,52317,304,A0,hot
spec-0572-52289-0456.fits,572,52289,456,A0,hot
spec-0282-51658-0295.fits,282,51658,295,A0,hot
spec-0490-51929-0438.fits,490,51929,438,A0,hot
spec-0340-51990-0362.fits,340,51990,362,A0,hot
spec-0442-51882-0317.fits,442,51882,317,A0,hot
spec-0615-52345-0400.fits,615,52345,400,O,hot
spec-0300-51943-0558.fits,300,51943,558,A0,hot
spec-0525-52029-0501.fits,525,52029,501,A0,hot
spec-0703-52209-0340.fits,703,52209,340,A0,hot
spec-0386-51788-0378.fits,386,51788,378,A0,hot
spec-0277-51908-0612.fits,277,51908,612,A0,hot
spec-0594-52045-0349.fits,594,52045,349,A0,hot
spec-0353-51703-0195.fits,353,51703,195,A0,hot
spec-0295-51985-0553.fits,295,51985,553,A0,hot
spec-0460-51924-0362.fits,460,51924,362,A0p,hot
spec-0630-52050-0048.fits,630,52050,48,A0,hot
spec-0587-52026-0424.fits,587,52026,424,A0,hot
spec-0485-51909-0138.fits,485,51909,138,A0,hot
spec-0487-51943-0434.fits,487,51943,434,A0,hot
spec-0693-52254-0280.fits,693,52254,280,A0,hot
spec-0692-52201-0291.fits,692,52201,291,A0,hot
spec-0446-51899-0245.fits,446,51899,245,A0,hot
spec-0404-51812-0362.fits,404,51812,362,A0,hot
spec-0293-51994-0376.fits,293,51994,376,A0,hot
spec-0348-51696-0462.fits,348,51696,462,A0p,hot
spec-0302-51688-0140.fits,302,51688,140,A0,hot
spec-0620-52375-0206.fits,620,52375,206,A0,hot
spec-0420-51871-0481.fits,420,51871,481,A0,hot
spec-0326-52375-0102.fits,326,52375,102,A0,hot
spec-0309-51994-0473.fits,309,51994,473,A0,hot
spec-0358-51818-0039.fits,358,51818,39,A0,hot
spec-0571-52286-0177.fits,571,52286,177,A0,hot
spec-0355-51788-0507.fits,355,51788,507,B9,hot
spec-0541-51959-0198.fits,541,51959,198,A0,hot
spec-0384-51821-0498.fits,384,51821,498,A0,hot
spec-0497-51989-0582.fits,497,51989,582,A0,hot
spec-0401-51788-0565.fits,401,51788,565,A0,hot
spec-0394-51913-0159.fits,394,51913,159,A0,hot
spec-0341-51690-0344.fits,341,51690,344,A0,hot
spec-0277-51908-0416.fits,277,51908,416,A0,hot
spec-0282-51658-0327.fits,282,51658,327,A0,hot
spec-0293-51994-0317.fits,293,51994,317,A0,hot
spec-0315-51663-0163.fits,315,51663,163,A0,hot
spec-0307-51663-0313.fits,307,51663,313,A0,hot
spec-0589-52055-0402.fits,589,52055,402,A0,hot
spec-0385-51877-0004.fits,385,51877,4,A0,hot
spec-0381-51811-0072.fits,381,51811,72,OB,hot
spec-0294-51986-0430.fits,294,51986,430,A0,hot
spec-0523-52026-0037.fits,523,52026,37,A0,hot
spec-0523-52026-0298.fits,523,52026,298,A0,hot
spec-0540-51996-0370.fits,540,51996,370,A0,hot
spec-0567-52252-0346.fits,567,52252,346,A0,hot
spec-0416-51885-0454.fits,416,51885,454,A0,hot
spec-0415-51879-0024.fits,415,51879,24,A0,hot
spec-0285-51930-0327.fits,285,51930,327,A0,hot
spec-0298-51955-0520.fits,298,51955,520,A0,hot
spec-0599-52317-0276.fits,599,52317,276,A0,hot
spec-0468-51912-0341.fits,468,51912,341,A0,hot
spec-0548-51986-0275.fits,548,51986,275,A0,hot
spec-0508-52366-0111.fits,508,52366,111,A0,hot
spec-0402-51793-0063.fits,402,51793,63,A0,hot
spec-0501-52235-0620.fits,501,52235,620,A0,hot
spec-0496-51988-0128.fits,496,51988,128,A0,hot
spec-0301-51942-0145.fits,301,51942,145,A0,hot
spec-0487-51943-0209.fits,487,51943,209,A0,hot
spec-0515-52051-0111.fits,515,52051,111,A0,hot
spec-0274-51913-0360.fits,274,51913,360,A0,hot
spec-0341-51690-0370.fits,341,51690,370,A0p,hot
spec-0522-52024-0142.fits,522,52024,142,A0p,hot
spec-0540-51996-0507.fits,540,51996,507,A0,hot
spec-0410-51877-0059.fits,410,51877,59,A0,hot
spec-0550-51959-0246.fits,550,51959,246,A0,hot
spec-0543-52017-0593.fits,543,52017,593,A0,hot
spec-0407-51820-0151.fits,407,51820,151,A0,hot
spec-0493-51957-0161.fits,493,51957,161,A0,hot
spec-0703-52209-0305.fits,703,52209,305,A0,hot
spec-0358-51818-0128.fits,358,51818,128,A0,hot
spec-0293-51689-0302.fits,293,51689,302,A0,hot
spec-0333-52313-0132.fits,333,52313,132,A0,hot
spec-0333-52313-0311.fits,333,52313,311,A0,hot
spec-0308-51662-0416.fits,308,51662,416,A0,hot
spec-0548-51986-0346.fits,548,51986,346,A0,hot
spec-0364-52000-0272.fits,364,52000,272,A0,hot
spec-0364-52000-0517.fits,364,52000,517,A0,hot
spec-0634-52149-0228.fits,634,52149,228,A0,hot
spec-0290-51941-0356.fits,290,51941,356,A0,hot
spec-0392-51793-0091.fits,392,51793,91,A0,hot
spec-0700-52199-0396.fits,700,52199,396,A0,hot
spec-0536-52024-0074.fits,536,52024,74,A0,hot
spec-0375-52140-0346.fits,375,52140,346,A0,hot
spec-0582-52045-0059.fits,582,52045,59,A0,hot
spec-0307-51663-0465.fits,307,51663,465,A0,hot
spec-0434-51885-0095.fits,434,51885,95,A0,hot
spec-0431-51877-0579.fits,431,51877,579,A0,hot
spec-0595-52023-0403.fits,595,52023,403,A0,hot
spec-0301-51641-0361.fits,301,51641,361,A0,hot
spec-0282-51658-0086.fits,282,51658,86,A0,hot
spec-0373-51788-0220.fits,373,51788,220,A0,hot
spec-0412-52250-0606.fits,412,52250,606,A0,hot
spec-0678-52884-0037.fits,678,52884,37,A0,hot
spec-0281-51614-0398.fits,281,51614,398,A0,hot
spec-0541-51959-0212.fits,541,51959,212,A0,hot
spec-0493-51957-0263.fits,493,51957,263,A0,hot
spec-0493-51957-0203.fits,493,51957,203,O,hot
spec-0395-51783-0520.fits,395,51783,520,A0,hot
spec-0465-51910-0444.fits,465,51910,444,A0,hot
spec-0438-51884-0158.fits,438,51884,158,A0,hot
spec-0383-51818-0623.fits,383,51818,623,A0,hot
spec-0336-51999-0467.fits,336,51999,467,A0,hot
spec-0531-52028-0090.fits,531,52028,90,A0,hot
spec-0373-51788-0212.fits,373,51788,212,A0,hot
spec-0437-51869-0373.fits,437,51869,373,A0,hot
spec-0335-52000-0342.fits,335,52000,342,A0,hot
spec-0635-52145-0240.fits,635,52145,240,A0,hot
spec-0343-51692-0581.fits,343,51692,581,A0,hot
spec-0390-51900-0519.fits,390,51900,519,A0,hot
spec-0574-52355-0075.fits,574,52355,75,A0,hot
spec-0308-51662-0222.fits,308,51662,222,A0,hot
spec-0280-51612-0068.fits,280,51612,68,A0,hot
spec-0595-52023-0337.fits,595,52023,337,A0,hot
spec-0581-52353-0578.fits,581,52353,578,A0,hot
spec-0339-51692-0617.fits,339,51692,617,OB,hot
